Year,Date
1917,17
1918,28
1919,20
1920,28
1921,28
1922,29
1923,26
1924,28
1925,22
1926,13
1927,29
1928,23
1929,22
1930,25
1931,27
1932,18
1933,25
1934,17
1935,32
1936,17
1937,29
1938,23
1939,16
1940,7
1941,20
1942,17
1943,15
1944,21
1945,33
1946,22
1947,20
1948,30
1949,31
1950,23
1951,17
1952,29
1953,16
1954,23
1955,26
1956,18
1957,22
1958,16
1959,25
1960,19
1961,22
1962,29
1963,22
1964,37
1965,24
1966,25
1967,21
1968,25
1969,15
1970,21
1971,25
1972,27
1973,21
1974,23
1975,27
1976,19
1977,23
1978,17
1979,17
1980,16
1981,17
1982,27
1983,16
1984,26
1985,29
1986,25
1987,22
1988,14
1989,18
1990,11
1991,18
1992,31
1993,10
1994,16
1995,13
1996,22
1997,17
1998,7
1999,16
2000,18
2001,25
2002,24
2003,16
2004,11
2005,15
2006,19
2007,14
2008,22
2009,18
2010,16
2011,20
2012,9
2013,37
2014,12
2015,11
2016,10
2017,18
2018,18
2019,1
